[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e400_13008786.pbs101_20260228_144232.log
[job] name=train_t_e400 id=13008786.pbs101 host=x1000c2s1b0n1 time=Sat Feb 28 14:42:32 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 120309.546875
[e001 s0050/1030] loss = 9209.275574
[e001 s0100/1030] loss = 4605.838337
[e001 s0150/1030] loss = 3071.273539
[e001 s0200/1030] loss = 2304.170411
[e001 s0250/1030] loss = 1844.579089
[e001 s0300/1030] loss = 1537.607163
[e001 s0350/1030] loss = 1318.763488
[e001 s0400/1030] loss = 1154.459257
[e001 s0450/1030] loss = 1027.423338
[e001 s0500/1030] loss = 924.981775
[e001 s0550/1030] loss = 841.133685
[e001 s0600/1030] loss = 771.359519
[e001 s0650/1030] loss = 712.309525
[e001 s0700/1030] loss = 661.770700
[e001 s0750/1030] loss = 617.983127
[e001 s0800/1030] loss = 579.643628
[e001 s0850/1030] loss = 545.909196
[e001 s0900/1030] loss = 515.806480
[e001 s0950/1030] loss = 489.015598
[e001 s1000/1030] loss = 464.710820
Epoch 001: train_loss = 451.271717  MAE/GAME0 = 11.782  RMSE = 32.935  GAME1 = 14.490  GAME2 = 16.638  GAME3 = 18.146  lr = 5.07e-06  time = 24.9s
[e002 s0001/1030] loss = 0.706883
[e002 s0050/1030] loss = 1.650982
[e002 s0100/1030] loss = 2.071365
[e002 s0150/1030] loss = 2.182920
[e002 s0200/1030] loss = 2.085537
[e002 s0250/1030] loss = 1.924203
[e002 s0300/1030] loss = 2.095217
[e002 s0350/1030] loss = 3.039138
[e002 s0400/1030] loss = 3.072870
[e002 s0450/1030] loss = 3.376778
[e002 s0500/1030] loss = 3.174192
[e002 s0550/1030] loss = 3.050328
[e002 s0600/1030] loss = 2.967894
[e002 s0650/1030] loss = 2.850781
[e002 s0700/1030] loss = 2.779831
[e002 s0750/1030] loss = 2.690093
[e002 s0800/1030] loss = 2.651778
[e002 s0850/1030] loss = 2.593560
[e002 s0900/1030] loss = 2.520679
[e002 s0950/1030] loss = 2.468564
[e002 s1000/1030] loss = 2.525737
Epoch 002: train_loss = 2.485625  MAE/GAME0 = 9.862  RMSE = 28.876  GAME1 = 11.737  GAME2 = 13.258  GAME3 = 14.317  lr = 5.28e-06  time = 23.2s
[e003 s0001/1030] loss = 0.556102
[e003 s0050/1030] loss = 1.207963
[e003 s0100/1030] loss = 1.180600
[e003 s0150/1030] loss = 2.167523
[e003 s0200/1030] loss = 3.272145
[e003 s0250/1030] loss = 2.755107
[e003 s0300/1030] loss = 2.659380
[e003 s0350/1030] loss = 2.362977
[e003 s0400/1030] loss = 2.263116
