[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e100_sanity_12717652.pbs101_20260111_173121.log
[job] name=train_rgbt_early_e100_sanity id=12717652.pbs101 host=x1000c0s3b0n1 time=Sun Jan 11 17:31:21 +08 2026
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 022/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 60.796, MAE = 34.382, GAME0 = 34.382, GAME1 = 43.677, GAME2 = 52.645, GAME3 = 59.435 | time = 25.1s
[epoch 023/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 70.406, MAE = 48.236, GAME0 = 48.236, GAME1 = 55.418, GAME2 = 64.255, GAME3 = 71.633 | time = 25.0s
[epoch 024/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.650, MAE = 35.633, GAME0 = 35.633, GAME1 = 41.080, GAME2 = 47.144, GAME3 = 53.757 | time = 25.2s
[epoch 025/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 64.296, MAE = 36.772, GAME0 = 36.772, GAME1 = 44.809, GAME2 = 52.621, GAME3 = 59.081 | time = 25.1s
[epoch 026/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.285, MAE = 38.378, GAME0 = 38.378, GAME1 = 47.308, GAME2 = 57.312, GAME3 = 64.819 | time = 26.7s
[epoch 027/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.139, MAE = 31.302, GAME0 = 31.302, GAME1 = 41.037, GAME2 = 49.144, GAME3 = 55.214 | time = 25.1s
[epoch 028/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 67.376, MAE = 42.878, GAME0 = 42.878, GAME1 = 49.574, GAME2 = 56.430, GAME3 = 63.560 | time = 25.1s
[epoch 029/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.165, MAE = 32.372, GAME0 = 32.372, GAME1 = 40.239, GAME2 = 47.090, GAME3 = 52.936 | time = 25.3s
[epoch 030/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 61.278, MAE = 32.171, GAME0 = 32.171, GAME1 = 41.802, GAME2 = 50.792, GAME3 = 57.410 | time = 25.1s
[epoch 031/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 79.084, MAE = 56.394, GAME0 = 56.394, GAME1 = 62.704, GAME2 = 70.462, GAME3 = 77.915 | time = 25.3s
[epoch 032/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 69.097, MAE = 37.122, GAME0 = 37.122, GAME1 = 43.895, GAME2 = 49.899, GAME3 = 54.138 | time = 25.2s
[epoch 033/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 66.799, MAE = 43.421, GAME0 = 43.421, GAME1 = 51.382, GAME2 = 60.853, GAME3 = 68.314 | time = 24.8s
[epoch 034/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.050, MAE = 33.035, GAME0 = 33.035, GAME1 = 39.448, GAME2 = 44.951, GAME3 = 49.936 | time = 25.4s
[epoch 035/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 74.627, MAE = 53.991, GAME0 = 53.991, GAME1 = 61.040, GAME2 = 70.141, GAME3 = 78.075 | time = 25.3s
[epoch 036/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 61.676, MAE = 33.640, GAME0 = 33.640, GAME1 = 40.888, GAME2 = 47.803, GAME3 = 54.275 | time = 25.4s
[epoch 037/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 64.574, MAE = 34.969, GAME0 = 34.969, GAME1 = 41.517, GAME2 = 48.472, GAME3 = 54.593 | time = 25.4s
[epoch 038/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.749, MAE = 32.238, GAME0 = 32.238, GAME1 = 38.964, GAME2 = 44.381, GAME3 = 49.572 | time = 25.2s
[epoch 039/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.978, MAE = 34.014, GAME0 = 34.014, GAME1 = 40.795, GAME2 = 46.664, GAME3 = 51.668 | time = 25.1s
[epoch 040/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 70.111, MAE = 39.362, GAME0 = 39.362, GAME1 = 43.622, GAME2 = 47.141, GAME3 = 50.683 | time = 24.8s
[epoch 041/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 71.404, MAE = 48.029, GAME0 = 48.029, GAME1 = 54.510, GAME2 = 62.713, GAME3 = 70.343 | time = 25.2s
