[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_count_ema_12711953.pbs101_20260109_181519.log
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 022/100] lr = 1.00e-05 | train loss = 0.0197 (base 0.0007, count 0.1898, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.5s
[epoch 023/100] lr = 1.00e-05 | train loss = 0.0190 (base 0.0008, count 0.1816, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.0s
[epoch 024/100] lr = 1.00e-05 | train loss = 0.0198 (base 0.0008, count 0.1901, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.2s
[epoch 025/100] lr = 1.00e-05 | train loss = 0.0194 (base 0.0009, count 0.1854, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.6s
[epoch 026/100] lr = 1.00e-05 | train loss = 0.0202 (base 0.0009, count 0.1930, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.3s
[epoch 027/100] lr = 1.00e-05 | train loss = 0.0199 (base 0.0010, count 0.1893, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.0s
[epoch 028/100] lr = 1.00e-05 | train loss = 0.0203 (base 0.0008, count 0.1947, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.6s
[epoch 029/100] lr = 1.00e-05 | train loss = 0.0200 (base 0.0007, count 0.1925, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 030/100] lr = 1.00e-05 | train loss = 0.0195 (base 0.0009, count 0.1858, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 47.4s
[epoch 031/100] lr = 1.00e-05 | train loss = 0.0211 (base 0.0009, count 0.2019, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.4s
[epoch 032/100] lr = 1.00e-05 | train loss = 0.0207 (base 0.0010, count 0.1971, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 47.8s
[epoch 033/100] lr = 1.00e-05 | train loss = 0.0203 (base 0.0010, count 0.1927, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.3s
[epoch 034/100] lr = 1.00e-05 | train loss = 0.0198 (base 0.0007, count 0.1905, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.0s
[epoch 035/100] lr = 1.00e-05 | train loss = 0.0193 (base 0.0006, count 0.1862, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.0s
[epoch 036/100] lr = 1.00e-05 | train loss = 0.0209 (base 0.0008, count 0.2012, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 47.6s
[epoch 037/100] lr = 1.00e-05 | train loss = 0.0192 (base 0.0007, count 0.1850, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 038/100] lr = 1.00e-05 | train loss = 0.0204 (base 0.0009, count 0.1952, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.4s
[epoch 039/100] lr = 1.00e-05 | train loss = 0.0191 (base 0.0008, count 0.1833, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.4s
[epoch 040/100] lr = 1.00e-05 | train loss = 0.0202 (base 0.0008, count 0.1941, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.3s
[epoch 041/100] lr = 1.00e-05 | train loss = 0.0201 (base 0.0007, count 0.1941, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.4s
[epoch 042/100] lr = 1.00e-05 | train loss = 0.0196 (base 0.0007, count 0.1889, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 043/100] lr = 1.00e-05 | train loss = 0.0199 (base 0.0007, count 0.1919, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 044/100] lr = 1.00e-05 | train loss = 0.0200 (base 0.0008, count 0.1912, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 47.5s
[epoch 045/100] lr = 1.00e-05 | train loss = 0.0194 (base 0.0009, count 0.1856, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.0s
[epoch 046/100] lr = 1.00e-05 | train loss = 0.0204 (base 0.0008, count 0.1966, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
