[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12839061.pbs101_20260206_150530.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12839061.pbs101 host=x1000c0s4b0n0 time=Fri Feb  6 15:05:30 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 160875.593750
[e001 s0050/1030] loss = 6096.556030
[e001 s0100/1030] loss = 3060.946247
[e001 s0150/1030] loss = 2046.293116
[e001 s0200/1030] loss = 1538.439046
[e001 s0250/1030] loss = 1232.878431
[e001 s0300/1030] loss = 1029.032716
[e001 s0350/1030] loss = 883.057887
[e001 s0400/1030] loss = 773.653119
[e001 s0450/1030] loss = 689.374640
[e001 s0500/1030] loss = 620.980969
[e001 s0550/1030] loss = 564.940980
[e001 s0600/1030] loss = 518.252451
[e001 s0650/1030] loss = 478.699655
[e001 s0700/1030] loss = 444.879045
[e001 s0750/1030] loss = 415.515207
[e001 s0800/1030] loss = 389.777766
[e001 s0850/1030] loss = 367.207799
[e001 s0900/1030] loss = 346.978134
[e001 s0950/1030] loss = 329.000527
[e001 s1000/1030] loss = 312.714454
Epoch 001: train_loss = 303.701254  MAE/GAME0 = 22.452  RMSE = 41.680  GAME1 = 23.120  GAME2 = 23.715  GAME3 = 23.935  lr = 1.00e-05  time = 32.9s
[e002 s0001/1030] loss = 0.061955
[e002 s0050/1030] loss = 2.291635
[e002 s0100/1030] loss = 2.471112
[e002 s0150/1030] loss = 3.144922
[e002 s0200/1030] loss = 2.989424
[e002 s0250/1030] loss = 3.011488
[e002 s0300/1030] loss = 3.442039
[e002 s0350/1030] loss = 4.074478
[e002 s0400/1030] loss = 4.103859
[e002 s0450/1030] loss = 4.543694
[e002 s0500/1030] loss = 4.390299
[e002 s0550/1030] loss = 4.216442
[e002 s0600/1030] loss = 4.136320
[e002 s0650/1030] loss = 4.202646
[e002 s0700/1030] loss = 4.202283
[e002 s0750/1030] loss = 4.057158
[e002 s0800/1030] loss = 4.040121
[e002 s0850/1030] loss = 4.041746
[e002 s0900/1030] loss = 3.950123
[e002 s0950/1030] loss = 3.957029
[e002 s1000/1030] loss = 3.928168
Epoch 002: train_loss = 3.889028  MAE/GAME0 = 22.963  RMSE = 42.024  GAME1 = 23.197  GAME2 = 23.420  GAME3 = 23.487  lr = 1.00e-05  time = 15.3s
[e003 s0001/1030] loss = 0.102441
[e003 s0050/1030] loss = 1.949548
[e003 s0100/1030] loss = 2.276894
[e003 s0150/1030] loss = 2.937918
[e003 s0200/1030] loss = 5.551991
[e003 s0250/1030] loss = 4.797261
[e003 s0300/1030] loss = 4.604371
[e003 s0350/1030] loss = 4.211039
[e003 s0400/1030] loss = 4.313084
[e003 s0450/1030] loss = 4.070895
[e003 s0500/1030] loss = 3.934736
[e003 s0550/1030] loss = 3.760769
[e003 s0600/1030] loss = 3.709288
[e003 s0650/1030] loss = 3.591054
[e003 s0700/1030] loss = 3.543893
[e003 s0750/1030] loss = 3.532817
[e003 s0800/1030] loss = 3.473797
[e003 s0850/1030] loss = 3.501259
[e003 s0900/1030] loss = 3.566285
[e003 s0950/1030] loss = 3.567242
[e003 s1000/1030] loss = 3.515073
Epoch 003: train_loss = 3.535310  MAE/GAME0 = 23.120  RMSE = 42.134  GAME1 = 23.224  GAME2 = 23.325  GAME3 = 23.356  lr = 1.00e-05  time = 15.1s
[e004 s0001/1030] loss = 0.085462
[e004 s0050/1030] loss = 2.727323
[e004 s0100/1030] loss = 2.594657
[e004 s0150/1030] loss = 2.784474
[e004 s0200/1030] loss = 2.846045
[e004 s0250/1030] loss = 2.622068
[e004 s0300/1030] loss = 2.864678
[e004 s0350/1030] loss = 3.123828
[e004 s0400/1030] loss = 3.023336
[e004 s0450/1030] loss = 2.996296
[e004 s0500/1030] loss = 2.873781
[e004 s0550/1030] loss = 2.814401
[e004 s0600/1030] loss = 2.948799
[e004 s0650/1030] loss = 3.058885
[e004 s0700/1030] loss = 2.915936
[e004 s0750/1030] loss = 2.972090
[e004 s0800/1030] loss = 3.001410
[e004 s0850/1030] loss = 3.191974
