[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e100_sanity_12717654.pbs101_20260111_173141.log
[job] name=train_t_e100_sanity id=12717654.pbs101 host=x1000c1s0b0n1 time=Sun Jan 11 17:31:41 +08 2026
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 022/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.092, MAE = 29.286, GAME0 = 29.286, GAME1 = 35.919, GAME2 = 41.741, GAME3 = 46.967 | time = 25.0s
[epoch 023/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 80.158, MAE = 67.201, GAME0 = 67.201, GAME1 = 71.258, GAME2 = 76.079, GAME3 = 80.927 | time = 25.4s
[epoch 024/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 55.553, MAE = 40.352, GAME0 = 40.352, GAME1 = 47.949, GAME2 = 56.392, GAME3 = 63.832 | time = 24.8s
[epoch 025/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 53.129, MAE = 29.717, GAME0 = 29.717, GAME1 = 39.171, GAME2 = 47.963, GAME3 = 55.210 | time = 24.9s
[epoch 026/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 50.250, MAE = 26.354, GAME0 = 26.354, GAME1 = 33.547, GAME2 = 40.175, GAME3 = 46.726 | time = 25.1s
[epoch 027/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.767, MAE = 36.859, GAME0 = 36.859, GAME1 = 40.123, GAME2 = 43.481, GAME3 = 46.562 | time = 24.9s
[epoch 028/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 50.777, MAE = 28.356, GAME0 = 28.356, GAME1 = 33.964, GAME2 = 38.843, GAME3 = 44.609 | time = 24.9s
[epoch 029/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 54.640, MAE = 28.638, GAME0 = 28.638, GAME1 = 33.889, GAME2 = 38.567, GAME3 = 43.414 | time = 24.8s
[epoch 030/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.762, MAE = 27.938, GAME0 = 27.938, GAME1 = 34.743, GAME2 = 40.628, GAME3 = 46.809 | time = 25.2s
[epoch 031/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.290, MAE = 26.459, GAME0 = 26.459, GAME1 = 33.628, GAME2 = 39.738, GAME3 = 45.961 | time = 25.3s
[epoch 032/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 64.910, MAE = 39.722, GAME0 = 39.722, GAME1 = 42.254, GAME2 = 44.744, GAME3 = 47.222 | time = 24.8s
[epoch 033/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 48.576, MAE = 26.163, GAME0 = 26.163, GAME1 = 33.006, GAME2 = 39.098, GAME3 = 45.626 | time = 24.8s
[epoch 034/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 49.319, MAE = 26.990, GAME0 = 26.990, GAME1 = 32.455, GAME2 = 37.322, GAME3 = 42.837 | time = 24.9s
[epoch 035/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.465, MAE = 29.973, GAME0 = 29.973, GAME1 = 35.548, GAME2 = 40.434, GAME3 = 46.034 | time = 24.8s
[epoch 036/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.818, MAE = 30.530, GAME0 = 30.530, GAME1 = 36.467, GAME2 = 41.763, GAME3 = 47.687 | time = 24.9s
[epoch 037/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.372, MAE = 51.833, GAME0 = 51.833, GAME1 = 59.711, GAME2 = 69.480, GAME3 = 77.475 | time = 24.9s
[epoch 038/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 48.540, MAE = 28.148, GAME0 = 28.148, GAME1 = 34.861, GAME2 = 41.169, GAME3 = 47.875 | time = 24.7s
[epoch 039/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 50.695, MAE = 27.334, GAME0 = 27.334, GAME1 = 33.495, GAME2 = 38.566, GAME3 = 44.167 | time = 25.7s
[epoch 040/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.402, MAE = 36.596, GAME0 = 36.596, GAME1 = 41.518, GAME2 = 46.587, GAME3 = 50.301 | time = 24.9s
[epoch 041/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 55.761, MAE = 39.273, GAME0 = 39.273, GAME1 = 45.383, GAME2 = 51.537, GAME3 = 57.880 | time = 24.4s
