[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_shift_tuned_e400_seed1_13331733.pbs101_20260323_132214.log
[job] name=train_rgbt_adaptive_fpn_lite_shift_tuned_e400_seed1 id=13331733.pbs101 host=x1000c2s0b0n0 time=Mon Mar 23 13:22:14 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] thermal_shift_px = 4  thermal_shift_p = 0.75
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=9 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_shift.py:526: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=173124
Epoch 005: train_loss = 0.487601  MAE/GAME0 = 18.832  RMSE = 42.675  GAME1 = 22.575  GAME2 = 26.712  GAME3 = 31.383  lr = 2.01e-06  kd = 1.00  time = 23.0s
[e006 s0001/1030] loss = 0.087681
[e006 s0050/1030] loss = 0.329461
[e006 s0100/1030] loss = 2.103911
[e006 s0150/1030] loss = 1.549275
[e006 s0200/1030] loss = 1.273025
[e006 s0250/1030] loss = 1.079044
[e006 s0300/1030] loss = 0.947424
[e006 s0350/1030] loss = 0.843468
[e006 s0400/1030] loss = 0.779208
[e006 s0450/1030] loss = 0.741384
[e006 s0500/1030] loss = 0.683944
[e006 s0550/1030] loss = 0.655171
[e006 s0600/1030] loss = 0.619433
[e006 s0650/1030] loss = 0.604905
[e006 s0700/1030] loss = 0.579204
[e006 s0750/1030] loss = 0.557873
[e006 s0800/1030] loss = 0.544616
[e006 s0850/1030] loss = 0.529043
[e006 s0900/1030] loss = 0.516089
[e006 s0950/1030] loss = 0.503783
[e006 s1000/1030] loss = 0.492464
Epoch 006: train_loss = 0.485300  MAE/GAME0 = 19.050  RMSE = 42.957  GAME1 = 22.734  GAME2 = 26.828  GAME3 = 31.435  lr = 2.24e-06  kd = 1.00  time = 22.4s
[e007 s0001/1030] loss = 0.360842
[e007 s0050/1030] loss = 0.196054
[e007 s0100/1030] loss = 0.188813
[e007 s0150/1030] loss = 0.281046
[e007 s0200/1030] loss = 0.277528
[e007 s0250/1030] loss = 0.319736
[e007 s0300/1030] loss = 0.885859
[e007 s0350/1030] loss = 0.798931
[e007 s0400/1030] loss = 0.757354
[e007 s0450/1030] loss = 0.701696
[e007 s0500/1030] loss = 0.677065
[e007 s0550/1030] loss = 0.635695
[e007 s0600/1030] loss = 0.599620
[e007 s0650/1030] loss = 0.575461
[e007 s0700/1030] loss = 0.562028
[e007 s0750/1030] loss = 0.556438
[e007 s0800/1030] loss = 0.533838
[e007 s0850/1030] loss = 0.520343
[e007 s0900/1030] loss = 0.506832
[e007 s0950/1030] loss = 0.498059
[e007 s1000/1030] loss = 0.483188
Epoch 007: train_loss = 0.478739  MAE/GAME0 = 19.314  RMSE = 43.271  GAME1 = 22.929  GAME2 = 26.960  GAME3 = 31.488  lr = 2.49e-06  kd = 1.00  time = 22.4s
[e008 s0001/1030] loss = 0.027967
[e008 s0050/1030] loss = 0.293165
[e008 s0100/1030] loss = 0.271952
[e008 s0150/1030] loss = 1.408164
[e008 s0200/1030] loss = 1.165597
[e008 s0250/1030] loss = 0.979170
[e008 s0300/1030] loss = 0.873715
[e008 s0350/1030] loss = 0.817942
[e008 s0400/1030] loss = 0.781784
[e008 s0450/1030] loss = 0.716816
[e008 s0500/1030] loss = 0.674926
[e008 s0550/1030] loss = 0.654142
[e008 s0600/1030] loss = 0.623437
[e008 s0650/1030] loss = 0.591401
[e008 s0700/1030] loss = 0.564474
[e008 s0750/1030] loss = 0.546035
[e008 s0800/1030] loss = 0.538240
[e008 s0850/1030] loss = 0.524651
[e008 s0900/1030] loss = 0.508256
[e008 s0950/1030] loss = 0.492825
[e008 s1000/1030] loss = 0.480293
Epoch 008: train_loss = 0.471679  MAE/GAME0 = 19.572  RMSE = 43.566  GAME1 = 23.122  GAME2 = 27.098  GAME3 = 31.552  lr = 2.79e-06  kd = 1.00  time = 22.4s
[e009 s0001/1030] loss = 0.050923
[e009 s0050/1030] loss = 0.165479
[e009 s0100/1030] loss = 0.299675
[e009 s0150/1030] loss = 0.390448
[e009 s0200/1030] loss = 0.352753
[e009 s0250/1030] loss = 0.330207
[e009 s0300/1030] loss = 0.320445
[e009 s0350/1030] loss = 0.318479
[e009 s0400/1030] loss = 0.314410
[e009 s0450/1030] loss = 0.302247
[e009 s0500/1030] loss = 0.313928
[e009 s0550/1030] loss = 0.305216
[e009 s0600/1030] loss = 0.301042
[e009 s0650/1030] loss = 0.287113
[e009 s0700/1030] loss = 0.535456
[e009 s0750/1030] loss = 0.524951
[e009 s0800/1030] loss = 0.510339
[e009 s0850/1030] loss = 0.507264
[e009 s0900/1030] loss = 0.496477
[e009 s0950/1030] loss = 0.481584
[e009 s1000/1030] loss = 0.470793
Epoch 009: train_loss = 0.466635  MAE/GAME0 = 20.042  RMSE = 44.081  GAME1 = 23.499  GAME2 = 27.388  GAME3 = 31.736  lr = 3.12e-06  kd = 1.00  time = 22.3s
[e010 s0001/1030] loss = 0.040445
[e010 s0050/1030] loss = 0.259566
[e010 s0100/1030] loss = 0.301796
[e010 s0150/1030] loss = 0.270973
[e010 s0200/1030] loss = 0.251997
[e010 s0250/1030] loss = 0.276687
[e010 s0300/1030] loss = 0.300645
[e010 s0350/1030] loss = 0.800723
[e010 s0400/1030] loss = 0.735575
[e010 s0450/1030] loss = 0.676962
[e010 s0500/1030] loss = 0.637544
[e010 s0550/1030] loss = 0.616591
[e010 s0600/1030] loss = 0.584293
[e010 s0650/1030] loss = 0.555590
[e010 s0700/1030] loss = 0.526722
[e010 s0750/1030] loss = 0.518134
[e010 s0800/1030] loss = 0.509884
[e010 s0850/1030] loss = 0.492229
[e010 s0900/1030] loss = 0.477994
[e010 s0950/1030] loss = 0.475470
[e010 s1000/1030] loss = 0.463381
Epoch 010: train_loss = 0.461311  MAE/GAME0 = 20.132  RMSE = 44.187  GAME1 = 23.567  GAME2 = 27.440  GAME3 = 31.768  lr = 3.48e-06  kd = 1.00  time = 22.5s
[e011 s0001/1030] loss = 0.603391
[e011 s0050/1030] loss = 0.335417
[e011 s0100/1030] loss = 0.264627
[e011 s0150/1030] loss = 1.414244
[e011 s0200/1030] loss = 1.147975
[e011 s0250/1030] loss = 0.949918
[e011 s0300/1030] loss = 0.819074
[e011 s0350/1030] loss = 0.736438
[e011 s0400/1030] loss = 0.660468
[e011 s0450/1030] loss = 0.605763
[e011 s0500/1030] loss = 0.563339
[e011 s0550/1030] loss = 0.533290
[e011 s0600/1030] loss = 0.509834
[e011 s0650/1030] loss = 0.485027
[e011 s0700/1030] loss = 0.473284
[e011 s0750/1030] loss = 0.461941
[e011 s0800/1030] loss = 0.449910
[e011 s0850/1030] loss = 0.447340
[e011 s0900/1030] loss = 0.434725
[e011 s0950/1030] loss = 0.420375
[e011 s1000/1030] loss = 0.412257
Epoch 011: train_loss = 0.406906  MAE/GAME0 = 22.898  RMSE = 50.909  GAME1 = 26.133  GAME2 = 29.893  GAME3 = 33.705  lr = 3.87e-06  kd = 1.00  time = 29.2s
[e012 s0001/1030] loss = 0.497257
[e012 s0050/1030] loss = 0.187039
[e012 s0100/1030] loss = 0.171731
[e012 s0150/1030] loss = 0.165358
[e012 s0200/1030] loss = 0.197369
[e012 s0250/1030] loss = 0.192882
[e012 s0300/1030] loss = 0.230944
[e012 s0350/1030] loss = 0.220528
[e012 s0400/1030] loss = 0.222118
[e012 s0450/1030] loss = 0.234755
[e012 s0500/1030] loss = 0.233896
[e012 s0550/1030] loss = 0.236197
[e012 s0600/1030] loss = 0.229860
[e012 s0650/1030] loss = 0.518381
[e012 s0700/1030] loss = 0.499368
[e012 s0750/1030] loss = 0.477288
[e012 s0800/1030] loss = 0.461130
[e012 s0850/1030] loss = 0.442819
[e012 s0900/1030] loss = 0.429528
[e012 s0950/1030] loss = 0.415902
[e012 s1000/1030] loss = 0.404368
Epoch 012: train_loss = 0.397158  MAE/GAME0 = 22.750  RMSE = 51.598  GAME1 = 26.118  GAME2 = 29.873  GAME3 = 33.722  lr = 4.28e-06  kd = 1.00  time = 29.1s
[e013 s0001/1030] loss = 0.074907
[e013 s0050/1030] loss = 0.186366
[e013 s0100/1030] loss = 0.233054
[e013 s0150/1030] loss = 0.189571
[e013 s0200/1030] loss = 1.153919
[e013 s0250/1030] loss = 0.977375
[e013 s0300/1030] loss = 0.872387
[e013 s0350/1030] loss = 0.798747
[e013 s0400/1030] loss = 0.724223
[e013 s0450/1030] loss = 0.667593
[e013 s0500/1030] loss = 0.624234
[e013 s0550/1030] loss = 0.579087
[e013 s0600/1030] loss = 0.542954
[e013 s0650/1030] loss = 0.514221
[e013 s0700/1030] loss = 0.493663
[e013 s0750/1030] loss = 0.474126
[e013 s0800/1030] loss = 0.452556
[e013 s0850/1030] loss = 0.439292
[e013 s0900/1030] loss = 0.425470
[e013 s0950/1030] loss = 0.416220
[e013 s1000/1030] loss = 0.401740
Epoch 013: train_loss = 0.393537  MAE/GAME0 = 22.680  RMSE = 52.050  GAME1 = 26.339  GAME2 = 30.205  GAME3 = 34.239  lr = 4.72e-06  kd = 1.00  time = 29.0s
[e014 s0001/1030] loss = 0.110801
[e014 s0050/1030] loss = 0.166668
[e014 s0100/1030] loss = 0.156265
[e014 s0150/1030] loss = 0.156747
[e014 s0200/1030] loss = 0.148115
[e014 s0250/1030] loss = 0.178257
[e014 s0300/1030] loss = 0.170628
[e014 s0350/1030] loss = 0.171915
[e014 s0400/1030] loss = 0.178863
[e014 s0450/1030] loss = 0.177210
[e014 s0500/1030] loss = 0.176489
[e014 s0550/1030] loss = 0.181587
[e014 s0600/1030] loss = 0.180679
[e014 s0650/1030] loss = 0.177246
[e014 s0700/1030] loss = 0.175458
[e014 s0750/1030] loss = 0.188935
[e014 s0800/1030] loss = 0.199456
[e014 s0850/1030] loss = 0.204066
[e014 s0900/1030] loss = 0.203256
[e014 s0950/1030] loss = 0.423658
[e014 s1000/1030] loss = 0.414923
Epoch 014: train_loss = 0.407824  MAE/GAME0 = 23.221  RMSE = 52.435  GAME1 = 26.400  GAME2 = 30.075  GAME3 = 33.826  lr = 5.19e-06  kd = 1.00  time = 29.6s
[e015 s0001/1030] loss = 0.014217
[e015 s0050/1030] loss = 0.152501
[e015 s0100/1030] loss = 0.173244
[e015 s0150/1030] loss = 0.174468
[e015 s0200/1030] loss = 0.171502
[e015 s0250/1030] loss = 0.950574
[e015 s0300/1030] loss = 0.820103
[e015 s0350/1030] loss = 0.755675
[e015 s0400/1030] loss = 0.685319
[e015 s0450/1030] loss = 0.628459
[e015 s0500/1030] loss = 0.582668
[e015 s0550/1030] loss = 0.548593
[e015 s0600/1030] loss = 0.530221
[e015 s0650/1030] loss = 0.507573
[e015 s0700/1030] loss = 0.483966
[e015 s0750/1030] loss = 0.457246
[e015 s0800/1030] loss = 0.435106
[e015 s0850/1030] loss = 0.434427
[e015 s0900/1030] loss = 0.423127
[e015 s0950/1030] loss = 0.407878
[e015 s1000/1030] loss = 0.395775
Epoch 015: train_loss = 0.387699  MAE/GAME0 = 24.456  RMSE = 54.888  GAME1 = 27.548  GAME2 = 31.369  GAME3 = 35.044  lr = 5.67e-06  kd = 1.00  time = 29.1s
[e016 s0001/1030] loss = 0.178866
[e016 s0050/1030] loss = 0.318935
[e016 s0100/1030] loss = 0.219516
[e016 s0150/1030] loss = 0.209071
[e016 s0200/1030] loss = 0.185176
[e016 s0250/1030] loss = 0.221222
[e016 s0300/1030] loss = 0.208582
[e016 s0350/1030] loss = 0.203785
[e016 s0400/1030] loss = 0.227746
[e016 s0450/1030] loss = 0.223256
[e016 s0500/1030] loss = 0.612351
[e016 s0550/1030] loss = 0.585893
[e016 s0600/1030] loss = 0.545359
[e016 s0650/1030] loss = 0.514595
[e016 s0700/1030] loss = 0.495586
[e016 s0750/1030] loss = 0.473950
[e016 s0800/1030] loss = 0.454070
[e016 s0850/1030] loss = 0.432295
[e016 s0900/1030] loss = 0.416167
[e016 s0950/1030] loss = 0.405391
[e016 s1000/1030] loss = 0.393627
Epoch 016: train_loss = 0.386779  MAE/GAME0 = 23.509  RMSE = 53.934  GAME1 = 27.202  GAME2 = 31.066  GAME3 = 34.955  lr = 6.16e-06  kd = 1.00  time = 29.2s
[e017 s0001/1030] loss = 0.048277
[e017 s0050/1030] loss = 0.194740
[e017 s0100/1030] loss = 0.228440
[e017 s0150/1030] loss = 0.231296
