[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_12749846.pbs101_20260117_023739.log
[job] name=train_rgbt_late_e100 id=12749846.pbs101 host=x1000c0s4b0n1 time=Sat Jan 17 02:37:39 +08 2026
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:385: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5483.227051
[e001 s0050/1030] loss = 2272.896723
[e001 s0100/1030] loss = 1142.074216
[e001 s0150/1030] loss = 761.540131
[e001 s0200/1030] loss = 571.163211
[e001 s0250/1030] loss = 456.931818
[e001 s0300/1030] loss = 380.777291
[e001 s0350/1030] loss = 326.381134
[e001 s0400/1030] loss = 285.583917
[e001 s0450/1030] loss = 253.852708
[e001 s0500/1030] loss = 228.467770
[e001 s0550/1030] loss = 207.699363
[e001 s0600/1030] loss = 190.391599
[e001 s0650/1030] loss = 175.746259
[e001 s0700/1030] loss = 163.193117
[e001 s0750/1030] loss = 152.313762
[e001 s0800/1030] loss = 142.794457
[e001 s0850/1030] loss = 134.394992
[e001 s0900/1030] loss = 126.928778
[e001 s0950/1030] loss = 120.248401
[e001 s1000/1030] loss = 114.236111
Epoch 001: train_loss = 110.908921  MAE/GAME0 = 12.064  RMSE = 25.237  GAME1 = 16.137  GAME2 = 18.781  GAME3 = 20.402  lr = 1.00e-05  time = 21.3s
[e002 s0001/1030] loss = 0.000490
[e002 s0050/1030] loss = 0.003040
[e002 s0100/1030] loss = 0.002689
[e002 s0150/1030] loss = 0.002396
[e002 s0200/1030] loss = 0.002662
[e002 s0250/1030] loss = 0.002626
[e002 s0300/1030] loss = 0.002546
[e002 s0350/1030] loss = 0.002597
[e002 s0400/1030] loss = 0.002536
[e002 s0450/1030] loss = 0.002714
[e002 s0500/1030] loss = 0.002675
[e002 s0550/1030] loss = 0.003032
[e002 s0600/1030] loss = 0.002995
[e002 s0650/1030] loss = 0.002921
[e002 s0700/1030] loss = 0.002841
